SM_V10_1	226606	0.017
SM_V10_1	226622	0.016
SM_V10_1	226636	0.014
SM_V10_1	226661	0.059
SM_V10_1	408196	0.083
SM_V10_1	408207	0.068
SM_V10_1	410542	0.05
SM_V10_1	410550	0.024
SM_V10_1	410554	0.037
SM_V10_1	410556	0.036
SM_V10_1	410564	0.012
SM_V10_1	410587	0.158
SM_V10_1	410590	0.05
SM_V10_1	410602	0.026
SM_V10_1	470740	0.474
SM_V10_1	470772	0.045
SM_V10_1	618249	0.038
SM_V10_1	618322	0.022
SM_V10_1	618324	0.022
SM_V10_1	618325	0.325
SM_V10_1	618326	0.022
SM_V10_1	618333	0.068
SM_V10_1	618353	0.206
SM_V10_1	618369	0.028
SM_V10_1	618372	0.028
SM_V10_1	619934	0.017
SM_V10_1	619948	0.056
SM_V10_1	619957	0.104
SM_V10_1	619965	0.044
SM_V10_1	619968	0.026
SM_V10_1	619972	0.085
SM_V10_1	619978	0.027
SM_V10_1	620964	0.196
SM_V10_1	620966	0.167
SM_V10_1	620990	0.048
SM_V10_1	621002	0.016
SM_V10_1	621006	0.15
SM_V10_1	621014	0.016
SM_V10_1	621015	0.089
SM_V10_1	623555	0.133
SM_V10_1	623569	0.019
SM_V10_1	623593	0.279
SM_V10_1	623612	0.532
SM_V10_1	624502	0.167
SM_V10_1	624516	0.027
SM_V10_1	624532	0.061
SM_V10_1	624536	0.012
SM_V10_1	624538	0.083
SM_V10_1	624543	0.535
SM_V10_1	624557	0.134
SM_V10_1	624558	0.023
SM_V10_1	624575	0.035
SM_V10_1	624601	0.131
SM_V10_1	624638	0.081
SM_V10_1	625433	0.023
SM_V10_1	625481	0.071
SM_V10_1	625489	0.068
SM_V10_1	625610	0.044
SM_V10_1	625615	0.044
SM_V10_1	625617	0.086
SM_V10_1	625637	0.281
SM_V10_1	625664	0.016
SM_V10_1	625666	0.03
SM_V10_1	625669	0.015
SM_V10_1	625673	0.031
SM_V10_1	625675	0.016
SM_V10_1	625679	0.017
SM_V10_1	625700	0.02
SM_V10_1	625725	0.02
SM_V10_1	625726	0.02
SM_V10_1	625749	0.271
SM_V10_1	706170	0.222
SM_V10_1	706188	0.5
SM_V10_1	706202	0.688
SM_V10_1	708663	0.03
SM_V10_1	708677	0.133
SM_V10_1	708681	0.133
SM_V10_1	708682	0.133
SM_V10_1	708689	0.03
SM_V10_1	708707	0.167
SM_V10_1	708712	0.16
SM_V10_1	1046810	0.012
SM_V10_1	1046837	0.056
SM_V10_1	1048828	0.038
SM_V10_1	1048831	0.038
SM_V10_1	1048863	1
SM_V10_1	1049210	0.433
SM_V10_1	1049235	0.441
SM_V10_1	1049484	0.389
SM_V10_1	1049491	0.071
SM_V10_1	1098042	0.313
SM_V10_1	1098048	0.313
SM_V10_1	1098699	0.025
SM_V10_1	1211387	0.25
SM_V10_1	1213673	0.533
SM_V10_1	1213686	0.044
SM_V10_1	1213713	0.011
SM_V10_1	1213779	0.024
SM_V10_1	1213786	0.023
SM_V10_1	1213793	0.063
SM_V10_1	1213797	0.034
SM_V10_1	1213820	0.209
SM_V10_1	1213834	0.011
SM_V10_1	1237782	0.034
SM_V10_1	1237792	0.057
SM_V10_1	1239677	0.043
SM_V10_1	1239698	0.029
SM_V10_1	1239758	0.186
SM_V10_1	1239759	0.191
SM_V10_1	1239788	0.043
SM_V10_1	1257856	0.183
SM_V10_1	1257867	0.011
SM_V10_1	1257886	0.011
SM_V10_1	1257891	0.012
SM_V10_1	1257906	0.011
SM_V10_1	1257912	0.141
SM_V10_1	1257933	0.013
SM_V10_1	1257949	0.194
SM_V10_1	1257954	0.031
SM_V10_1	1257958	0.02
SM_V10_1	1257992	0.026
SM_V10_1	1350902	0.097
SM_V10_1	1350919	0.554
SM_V10_1	1350920	0.554
SM_V10_1	1350941	0.125
SM_V10_1	1351645	0.023
SM_V10_1	1351676	0.456
SM_V10_1	1353509	0.033
SM_V10_1	1353511	0.031
SM_V10_1	1353513	0.033
SM_V10_1	1353517	0.063
SM_V10_1	1354346	0.083
SM_V10_1	1354395	0.026
SM_V10_1	1355384	0.019
SM_V10_1	1355389	0.019
SM_V10_1	1355393	0.042
SM_V10_1	1355415	0.019
SM_V10_1	1355423	0.019
SM_V10_1	1355432	0.205
SM_V10_1	1355447	0.259
SM_V10_1	1355464	0.033
SM_V10_1	1355468	0.014
SM_V10_1	1355469	0.032
SM_V10_1	1355481	0.013
SM_V10_1	1439852	1
SM_V10_1	1439902	0.029
SM_V10_1	1442658	0.45
SM_V10_1	1444915	0.5
SM_V10_1	1444961	0.185
SM_V10_1	1448770	0.088
SM_V10_1	1448793	0.083
SM_V10_1	1448920	0.024
SM_V10_1	1448956	0.595
SM_V10_1	1449834	0.119
